,sent_no,parag_no,sect_no,sent_raw,sent_clean,char_len,token_len
3264,3264,466,40,"Mrs. Ramsay - it was part of her perfect goodness - sat there quite simply, in the chair, flicked her needles to and fro, knitted her reddish-brown stocking, cast her shadow on the step.",mrs  ramsay   it was part of her perfect goodness   sat there quite simply  in the chair  flicked her needles to and fro  knitted her reddish brown stocking  cast her shadow on the step ,186,34
3265,3265,466,40,There she sat.,there she sat ,14,3
3266,3266,467,40,"And as if she had something she must share, yet could hardly leave her easel, so full her mind was of what she was thinking, of what she was seeing, Lily went past Mr. Carmichael holding her brush to the edge of the lawn.",and as if she had something she must share  yet could hardly leave her easel  so full her mind was of what she was thinking  of what she was seeing  lily went past mr  carmichael holding her brush to the edge of the lawn ,221,44
3267,3267,467,40,Where was that boat now?,where was that boat now ,24,5
3268,3268,467,40,And Mr. Ramsay?,and mr  ramsay ,15,3
3269,3269,467,40,She wanted him.,she wanted him ,15,3
3270,3270,468,41,Mr. Ramsay had almost done reading.,mr  ramsay had almost done reading ,35,6
3271,3271,468,41,One hand hovered over the page as if to be in readiness to turn it the very instant he had finished it.,one hand hovered over the page as if to be in readiness to turn it the very instant he had finished it ,103,22
3272,3272,468,41,"He sat there bareheaded with the wind blowing his hair about, extraordinarily exposed to everything.",he sat there bareheaded with the wind blowing his hair about  extraordinarily exposed to everything ,100,15
3273,3273,468,41,He looked very old.,he looked very old ,19,4
3274,3274,468,41,"He looked, James thought, getting his head now against the Lighthouse, now against the waste of waters running away into the open, like some old stone lying on the sand; he looked as if he had become physically what was always at the back of both of their minds - that loneliness which was for both of them the truth about things.",he looked  james thought  getting his head now against the lighthouse  now against the waste of waters running away into the open  like some old stone lying on the sand  he looked as if he had become physically what was always at the back of both of their minds   that loneliness which was for both of them the truth about things ,330,62
3275,3275,469,41,"He was reading very quickly, as if he were eager to get to the end.",he was reading very quickly  as if he were eager to get to the end ,67,15
3276,3276,469,41,Indeed they were very close to the Lighthouse now.,indeed they were very close to the lighthouse now ,50,9
3277,3277,469,41,"There it loomed up, stark and straight, glaring white and black, and one could see the waves breaking in white splinters like smashed glass upon the rocks.",there it loomed up  stark and straight  glaring white and black  and one could see the waves breaking in white splinters like smashed glass upon the rocks ,155,27
3278,3278,469,41,One could see lines and creases in the rocks.,one could see lines and creases in the rocks ,45,9
3279,3279,469,41,"One could see the windows clearly; a dab of white on one of them, and a little tuft of green on the rock.",one could see the windows clearly  a dab of white on one of them  and a little tuft of green on the rock ,105,23
3280,3280,469,41,A man had come out and looked at them through a glass and gone in again.,a man had come out and looked at them through a glass and gone in again ,72,16
3281,3281,469,41,"So it was like that, James thought, the Lighthouse one had seen across the bay all these years; it was a stark tower on a bare rock.",so it was like that  james thought  the lighthouse one had seen across the bay all these years  it was a stark tower on a bare rock ,132,27
3282,3282,469,41,It satisfied him.,it satisfied him ,17,3
3283,3283,469,41,It confirmed some obscure feeling of his about his own character.,it confirmed some obscure feeling of his about his own character ,65,11
3284,3284,469,41,"The old ladies, he thought, thinking of the garden at home, went dragging their chairs about on the lawn.",the old ladies  he thought  thinking of the garden at home  went dragging their chairs about on the lawn ,105,19
3285,3285,469,41,"Old Mrs. Beckwith, for example, was always saying how nice it was and how sweet it was and how they ought to be so proud and they ought to be so happy, but as a matter of fact, James thought, looking at the Lighthouse stood there on its rock, it's like that.",old mrs  beckwith  for example  was always saying how nice it was and how sweet it was and how they ought to be so proud and they ought to be so happy  but as a matter of fact  james thought  looking at the lighthouse stood there on its rock  it is like that ,258,52
3286,3286,469,41,He looked at his father reading fiercely with his legs curled tight.,he looked at his father reading fiercely with his legs curled tight ,68,12
3287,3287,469,41,They shared that knowledge.,they shared that knowledge ,27,4
3288,3288,469,41,"""We are driving before a gale - we must sink,"" he began saying to himself, half aloud, exactly as his father said it.", we are driving before a gale   we must sink   he began saying to himself  half aloud  exactly as his father said it ,117,23
3289,3289,470,41,Nobody seemed to have spoken for an age.,nobody seemed to have spoken for an age ,40,8
3290,3290,470,41,Cam was tired of looking at the sea.,cam was tired of looking at the sea ,36,8
3291,3291,470,41,Little bits of black cork had floated past; the fish were dead in the bottom of the boat.,little bits of black cork had floated past  the fish were dead in the bottom of the boat ,89,18
3292,3292,470,41,"Still her father read, and James looked at him and she looked at him, and they vowed that they would fight tyranny to the death, and he went on reading quite unconscious of what they thought.",still her father read  and james looked at him and she looked at him  and they vowed that they would fight tyranny to the death  and he went on reading quite unconscious of what they thought ,191,36
